dogs,owner_email
Li-Lu|Max,user7093@gmail.com
Li-Lu|Max,user7093@gmail.com
Li-Lu|Max,user7093@gmail.com
Daisy|missy,user9727@gmail.com
Daisy|missy,user9727@gmail.com
Daisy|missy,user9727@gmail.com
Zeus,user9799@gmail.com
Zeus,user9799@gmail.com
Sushi|Miranda,user2124@verizon.net
Sushi|Miranda,user2124@verizon.net
Riley|Indie|Qurbi,user7194@gmail.com
Riley|Indie|Qurbi,user7194@gmail.com
Lily,user8327@yahoo.com
Lily,user8327@yahoo.com
Lily,user8327@yahoo.com
Dorrie|Virgil|Eli,user2281@hotmail.com
Dorrie|Virgil|Eli,user2281@hotmail.com
Brady|Ginger|Moses,user8181@yahoo.com
Brady|Ginger|Moses,user8181@yahoo.com
Brady|Ginger|Moses,user8181@yahoo.com
Mamba,user1184@gmail.com
Mamba,user1184@gmail.com
Mamba,user1184@gmail.com
Brooke|Zero,user3063@verizon.net
Brooke|Zero,user3063@verizon.net
Brooke|Zero,user3063@verizon.net
Rebel|Charlie|Bella,user8481@gmail.com
Rebel|Charlie|Bella,user8481@gmail.com
Rebel|Charlie|Bella,user8481@gmail.com
riptide|Bailey,user2733@t-mobile.com
riptide|Bailey,user2733@t-mobile.com
riptide|Bailey,user2733@t-mobile.com
riptide|Bailey,user2733@t-mobile.com
riptide|Bailey,user2733@t-mobile.com
Djanjo|Roxie,user8066@verizon.net
Djanjo|Roxie,user8066@verizon.net
Djanjo|Roxie,user8066@verizon.net
Djanjo|Roxie,user8066@verizon.net
Djanjo|Roxie,user8066@verizon.net
Kali,user4478@verizon.net
Kali,user4478@verizon.net
Kali,user4478@verizon.net
Kali,user4478@verizon.net
Ty,user4484@verizon.net
Ty,user4484@verizon.net
Ty,user4484@verizon.net
Ty,user4484@verizon.net
Scotty,user1753@t-mobile.com
Scotty,user1753@t-mobile.com
Scotty,user1753@t-mobile.com
Scotty,user1753@t-mobile.com
Scotty,user1753@t-mobile.com
Zara|Dayo,user5326@t-mobile.com
Zara|Dayo,user5326@t-mobile.com
Zara|Dayo,user5326@t-mobile.com
Duncan,user4172@verizon.net
Duncan,user4172@verizon.net
Duncan,user4172@verizon.net
Sir Percy Blakeney Baronet|Nala|Walter,user5948@yahoo.com
Sir Percy Blakeney Baronet|Nala|Walter,user5948@yahoo.com
Sir Percy Blakeney Baronet|Nala|Walter,user5948@yahoo.com
Maisey|Lulu,user6616@yahoo.com
Bailey,user1951@verizon.net
Bailey,user1951@verizon.net
Bailey,user1951@verizon.net
Bailey,user1951@verizon.net
Pepper|Cody|Scamper,user1426@verizon.net
Pepper|Cody|Scamper,user1426@verizon.net
Scooter,user4739@hotmail.com
Malu|Mally|Lucy,user9197@yahoo.com
Malu|Mally|Lucy,user9197@yahoo.com
Malu|Mally|Lucy,user9197@yahoo.com
Skye|teddy  and izzy|Bailey,user5878@gmail.com
Skye|teddy  and izzy|Bailey,user5878@gmail.com
Skye|teddy  and izzy|Bailey,user5878@gmail.com
Gadget|Bu|Zeeba,user8744@gmail.com
Gadget|Bu|Zeeba,user8744@gmail.com
Gadget|Bu|Zeeba,user8744@gmail.com
Macy,user9460@yahoo.com
Macy,user9460@yahoo.com
Macy,user9460@yahoo.com
Macy,user9460@yahoo.com
Ramone|Amos,user1837@hotmail.com
Ramone|Amos,user1837@hotmail.com
Pongo|Porter,user7713@hotmail.com
Pongo|Porter,user7713@hotmail.com
Pongo|Porter,user7713@hotmail.com
Roxy,user1050@hotmail.com
Roxy,user1050@hotmail.com
Roxy,user1050@hotmail.com
Roxy,user1050@hotmail.com
Roxy,user1050@hotmail.com
Emily|Giant,user3914@hotmail.com
Emily|Giant,user3914@hotmail.com
Ozzy|Kona|Lady,user3915@yahoo.com
Ozzy|Kona|Lady,user3915@yahoo.com
Carlos|Faye|Mottley,user2757@hotmail.com
Carlos|Faye|Mottley,user2757@hotmail.com
Carlos|Faye|Mottley,user2757@hotmail.com
Riley,user3072@yahoo.com
Riley,user3072@yahoo.com
Kashmere,user5733@t-mobile.com
Kashmere,user5733@t-mobile.com
Kashmere,user5733@t-mobile.com
M-dog,user8132@gmail.com
Vincent Spencer Lottner|Nellie,user5529@gmail.com
Vincent Spencer Lottner|Nellie,user5529@gmail.com
Vincent Spencer Lottner|Nellie,user5529@gmail.com
Cessie,user6899@hotmail.com
Cessie,user6899@hotmail.com
Cessie,user6899@hotmail.com
Buttercup|kippy,user5036@yahoo.com
Beast|Lucas,user7313@yahoo.com
Beast|Lucas,user7313@yahoo.com
willow,user7116@verizon.net
willow,user7116@verizon.net
Buddy,user7910@t-mobile.com
Breezy|Moxx,user5005@hotmail.com
Ruby,user5888@yahoo.com
Ruby,user5888@yahoo.com
Ruby,user5888@yahoo.com
Ruby,user5888@yahoo.com
Ruby,user5888@yahoo.com
Ruby,user5888@yahoo.com
Mars|Goldie|Max,user3958@t-mobile.com
Mars|Goldie|Max,user3958@t-mobile.com
Reggie,user2932@yahoo.com
Reggie,user2932@yahoo.com
Reggie,user2932@yahoo.com
Reggie,user2932@yahoo.com
Spencer,user7019@yahoo.com
Spencer,user7019@yahoo.com
Spencer,user7019@yahoo.com
Spencer,user7019@yahoo.com
Six|Light|Piper,user6977@yahoo.com
Jax|Sammy,user7056@verizon.net
Pedro|bella|Biscuit,user5896@hotmail.com
Gambler|Molly,user7910@hotmail.com
Storm|Lucy|Harvey,user2161@verizon.net
Storm|Lucy|Harvey,user2161@verizon.net
Storm|Lucy|Harvey,user2161@verizon.net
Slider|Cleatus,user3187@hotmail.com
Slider|Cleatus,user3187@hotmail.com
Slider|Cleatus,user3187@hotmail.com
Husk|Orion|Lucky,user2462@t-mobile.com
Gypsy,user1780@yahoo.com
Gypsy,user1780@yahoo.com
Ro|Houston|Aspen,user3912@yahoo.com
Ro|Houston|Aspen,user3912@yahoo.com
Ro|Houston|Aspen,user3912@yahoo.com
Cody|Gemma,user5271@gmail.com
Cody|Gemma,user5271@gmail.com
Cody|Gemma,user5271@gmail.com
Cody|Gemma,user5271@gmail.com
